COMUNA;DC;NOM_DISTRITO
7304;4;LONTUÉ
7304;5;PICHINGAL
7304;6;RÍO CLARO
7304;7;TRALUÑÉ
7304;8;YACAL
7304;9;AGUA FRÍA
7304;10;CHACAYES
7305;1;RAUCO
7305;2;EL VALLE
7305;3;PALQUIBUDI
7305;4;PARRÓN
7306;1;ROMERAL
7306;2;HUAICO
7306;3;CALABOZO
7306;4;LAGUNA DE TENO
7306;5;LA HUERTA
7307;1;SAGRADA FAMILIA
7307;2;TRAPICHE
7307;3;LO VALDIVIA
7307;4;REQUINGUA
7307;5;CULENAR
7307;6;GUAICUTÉN
7307;7;VILLA PRAT
7307;8;LOS QUILLAYES
7307;9;COLÍN
7308;1;TENO
7308;2;PUNTA DEL MONTE
7308;3;COMALLE
7308;4;CERRILLO
7308;5;LAS LIRAS
7308;6;MANZANO
7308;7;LA LAGUNA
7309;1;VICHUQUÉN
7309;2;LLICO
7309;3;ZAPALLAR
7309;4;TILCURA
7401;1;PLAZA DE ARMAS
7401;2;HOSPICIO
7401;3;LLANCANAO
7401;4;YUNGAY
7401;5;PALMILLA
7401;6;EL ROSARIO
7401;7;MARÍA AUXILIADORA
7401;8;SAN ANTONIO
7401;9;LLEPO
7401;10;VEGAS DE ANCOA
7401;11;MAICA
7402;1;COLBÚN
7402;2;BASÁEZ
7402;3;COLBÚN ALTO
7402;4;MELADO
7402;5;RABONES
7402;6;RARI
7402;7;CAPILLA PALACIOS
7402;8;PANIMÁVIDA
7402;9;SAN JOSÉ
7403;1;LONGAVÍ
7403;2;RINCÓN DE ZÚÑIGA
7403;3;BODEGA
7403;4;LA AGUADA
7403;5;MESAMÁVIDA
7403;6;LOS CRISTALES
7403;7;EL TRÁNSITO
7403;8;LATIGUILLO
7403;9;LOMA DE VÁSQUEZ
7403;10;QUINTA SUR
7404;1;PLAZA
7404;2;HOSPITAL
7404;3;ESTADIO
7404;4;LOS CARDOS
7404;5;VIÑA DEL MAR
7404;6;PALMA ROSA
7404;7;QUINCHAMÁVIDA
7404;8;MONTE FLOR
7404;9;LAS HORTENSIAS
7404;10;ISLA PENCAHUE
7404;11;HUENUTIL
7404;12;BULLILEO
7404;13;LOS CANELOS
7404;14;CANUCALQUI
7405;1;RETIRO
7405;2;PIGUCHÉN
7405;3;COPIHUE
7405;4;VILLASECA
7405;5;LOS NABOS
7405;6;LAS CAMELIAS
7405;7;LOS ROBLES
7406;1;PLAZA
7406;2;CEMENTERIO
7406;3;JUNTAS VIEJAS
7406;4;CHANQUICÓ
7406;5;SANTA CECILIA
7406;6;CABRERÍA
7406;7;BOBADILLA
7406;8;VAQUERÍA
7406;9;VILLAVICENCIO
7406;10;MELOZAL
7406;11;CALIBORO
7406;12;LA HUERTA
7406;13;CODELLIMA
7406;14;NIVIRILO
7406;15;EL VALLE
7407;1;VILLA ALEGRE
7407;2;GUARACULÉN
7407;3;REYES
7407;4;PATAGUAS
7407;5;COIBUNGO
7407;6;PUTAGÁN
7408;1;YERBAS BUENAS
7408;2;QUILIPÍN
7408;3;ABRÁNQUIL
7408;4;RINCÓN DE ABRÁNQUIL
7408;5;SANTA ELENA
7408;6;SANTA ANA DE QUERI
7408;7;PEÑUELAS
8101;1;INTENDENCIA
8101;2;LICEO DE HOMBRES
8101;3;LA CÁRCEL
8101;4;PLAZA ESPAÑA
8101;5;ESTACIÓN CENTRAL
8101;6;CERRO AMARILLO
8101;7;PLAZA CRUZ
8101;8;CEMENTERIO
8101;9;LAGUNA REDONDA
8101;10;PAJONAL
8101;11;MANUEL RODRÍGUEZ
8101;12;ESCUELA ARGENTINA
8101;13;GENERAL CRUZ
8101;14;ESTACIÓN TUCAPEL
8101;15;LO MÉNDEZ
8101;16;LA TOMA
8101;17;LA PÓLVORA
8101;18;ANDALIÉN
8101;19;POBLACIÓN BAQUEDANO
8101;20;PLAZA CONDELL
8101;21;HOSPITAL
8101;22;PLAZA PERÚ
8101;23;PUCHACAY
8101;24;OBSERVATORIO
8101;25;LARENAS
8101;26;PEDRO DE VALDIVIA
8101;27;BILBAO
8101;28;PALOMARES
8101;29;RANCHO GRANDE
8101;30;CHAIMÁVIDA
8101;31;LAS ULLOAS
8101;32;LO PEQUÉN
8102;1;MUNICIPALIDAD
8102;2;VILLA MORA
8102;3;SCHWAGER
8102;4;BUEN RETIRO
8102;5;EL CALABOZO
8102;6;EL MANZANO
8102;7;EL PATAGUAL
8102;8;CORCOVADO
8102;9;PLAYA NEGRA
8102;10;SANTA MARÍA
8102;11;ESCUADRÓN
8103;1;LONCO
8103;2;MATADERO
8103;3;FÁBRICA
8103;4;CHIGUAYANTE
8103;5;LA LEONERA
8103;6;AGUA POTABLE
8104;1;FLORIDA
8104;2;DANQUILCO
8104;3;SAN ANTONIO DE DADI
8104;4;COPIULEMU
8104;5;JUAN CHICO
8104;6;CASABLANCA
8105;1;HUALQUI
8105;2;EL ÁGUILA
8105;3;CHAUQUELÍ
8105;4;AGUA LARGA
8105;5;MILLAHUE
8105;6;QUINQUIBUENO
8105;7;VEGAS DE DIUCA
8105;8;TALCAMÁVIDA
8105;9;QUILACOYA
8105;10;SAN ONOFRE
8106;1;LOTA ALTO
8106;2;BANNEN
8106;3;LOTA BAJO
8106;4;CEMENTERIO
8106;5;COLCURA
8106;6;CHIVILINGO
8107;1;PENCO
8107;2;FÁBRICA
8107;3;LIRQUÉN
8107;4;LAS PATAGUAS
8107;5;MARGARITAS
8107;6;ANDALIÉN
8108;1;BATRO
8108;2;BOCA SUR
8108;3;LOS ACACIOS
8108;4;SAN PEDRO
8108;5;LOMAS COLORADAS
8108;6;LOS PINARES
8109;1;SANTA JUANA
8109;2;TRICAUCO
8109;3;TANAHUILLÍN
8109;4;CURAMÁVIDA
8109;5;COLICO
8109;6;PASO HONDO
8109;7;SAN JERÓNIMO
8109;8;ESPIGADO
8109;9;AGUA DEL ORO
8109;10;VAQUERÍA
8109;11;PALIHUE
8110;1;EL PORTÓN
8110;2;VALDIVIESO
8110;3;CERRO FUENTES
8110;4;LA ADUANA
8110;5;CERRO BUENAVISTA
8110;6;TUMBES
8110;7;ISLA QUIRIQUINA
8110;8;SAN VICENTE
8110;9;ESTADIO
8110;10;HUACHIPATO
8110;11;ESTADIO HIGUERAS
8110;12;SAN MIGUEL
8110;13;EL ARENAL
8110;14;CARRIEL
8110;15;LAS SALINAS
8110;16;BARRANQUILLA
8110;17;ZUNICO
8111;1;EL PUERTO
8111;2;RALIHUE
8111;3;EL MORRO
8111;4;COLIUMO
8111;5;DICHATO
8111;6;PUDÁ
8111;7;RAFAEL
8111;8;CONUCO
8111;9;SAN ANTONIO
8111;10;CORONEY
8111;11;PUNTA DE PARRA
8112;1;RAMUNTCHO
8112;2;HUALPENCILLO
8112;3;CIUDAD DEL NIÑO
8112;4;CLUB HÍPICO
8112;5;BREMEN
8112;6;CERRO VERDE
8201;1;LEBU PONIENTE
8201;2;MILLONHUE
8201;3;RÁNQUIL
8201;5;LOS CAMBUCHOS
8201;6;PEHUÉN
8201;7;MORGUILLA
8201;8;SANTA ROSA
8201;9;ISLA MOCHA
8201;10;LEBU ORIENTE
8202;1;LARAQUETE
8202;2;CARAMPANGUE
8202;3;RAMADILLAS
8202;4;ARAUCO
8202;5;LOS ÑANCOS
8202;6;CARIPILÚN
8202;7;TUBUL
8202;8;LAVAPIÉ
8202;9;QUIAPO
8203;1;CAÑETE
8203;2;EL REPOSO
8203;3;LOURDES
8203;4;PILIMPILLI
8203;5;BUTAMALAL
8203;6;CAYUCUPIL
8203;7;PELECO
8203;8;LLONCAO
8203;9;LLENQUEHUE
8203;10;LANALHUE
8203;11;POCUNO
8203;12;ANTIQUINA
8204;1;CONTULMO
8204;2;HUILLINCO
8204;3;MAHUILQUE
8204;4;ELICURA
8205;1;CURANILAHUE
8205;2;PLEGARIAS
8205;3;LOS RÍOS
8205;4;SAN JOSÉ DE COLICO
8205;5;COLICO SUR
8205;6;COLICO
8205;7;MUNDO NUEVO
8205;8;CIFUENTES
8205;9;LAS QUEMAS
8206;1;LOS ÁLAMOS
8206;2;PILPILCO
8206;3;CARAMÁVIDA
8206;4;TRES PINOS
8206;5;PANGUE
8207;1;TRANAQUEPE
8207;2;QUIDICO
8207;3;TIRÚA
8207;4;TIRÚA SUR
8301;1;MERCADO
8301;2;PLAZA BRASIL
8301;3;PLAZA PINTO
8301;4;ESTACIÓN ARRAYÁN
8301;5;VIRQUENCO
8301;6;QUILQUE
8301;7;LAS VEGAS
8301;8;LOS GUANACOS
8301;9;PARAGUAY
8301;10;CERRO COLORADO
8301;11;HUMÁN
8301;12;CHACAYAL
8301;13;EL PERAL
8301;14;CUÑIBAL
8301;15;SAN CARLOS DE PURÉN
8301;16;SAN JOSÉ
8301;17;PAILLIHUE
8301;18;EL MORRO
8301;19;SANTA FÉ
8301;20;AVENIDA MAIPÚ
8301;21;SOR VICENTA
8302;1;ANTUCO
8302;2;CENTRAL EL TORO
8302;4;PUERTO NUEVO
8303;1;CABRERO
8303;2;CHARRÚA
8303;3;CHILLANCITO
8303;4;MONTE ÁGUILA
8303;5;CASAS DE RÍO CLARO
8304;1;LAJA NORTE
8304;2;PEÑA BLANCA
8304;3;LOS QUILALES
8304;4;EL DESAGÜE
8304;5;LAJA SUR
8305;1;MULCHÉN ORIENTE
8305;2;MULCHÉN PONIENTE
8305;3;MUNILQUE
8305;4;PILE
8305;8;EL MORRO
8305;9;PEÑAS VERDES
8305;10;SANTA MÓNICA
8305;11;MANQUECUEL
8305;12;PILHUÉN
8305;13;ESTACIÓN
8305;14;LAPITO
8305;15;RAPELCO
8306;1;NACIMIENTO
8306;2;PICHÚN
8306;3;CHOROICO
8306;4;QUILQUILCO
8306;5;LIUCURA
8306;6;ESTACIÓN
8306;7;DOLLINCO
8307;1;NEGRETE
8307;2;COIHUE
8307;3;RIHUE
8308;1;QUILACO
8308;2;QUILAPALO
8308;3;RUCALHUE
8308;4;LONCOPANGUE
8309;1;QUILLECO
8309;2;CURICHE
8309;3;CANTERAS
8309;4;VILLA MERCEDES
8309;5;MILEO
8309;6;CAÑICURA
8310;1;SAN ROSENDO
8310;2;BUENURAQUI
8310;3;TURQUÍA
8311;1;SANTA BÁRBARA
8311;2;MAÑIL
8311;3;VILLUCURA
8311;4;SALTO EL PERRO
8311;5;QUILLAILEO
8311;6;SAN LORENZO
8311;7;HUEQUECURA
8311;8;MININCO
8312;1;TUCAPEL
8312;2;HUÉPIL
8312;3;RUCAMANQUI
8312;4;POLCURA
8312;5;TRUPÁN
8313;1;YUMBEL
8313;2;ESTACIÓN
8313;3;LA AGUADA
8313;4;SAN CRISTÓBAL
8313;5;RERE
8313;6;TRAIGUÉN
8313;7;LUCAY
8313;8;CHOIHUE
8313;9;TOMECO
8314;1;QUEUCO
8314;2;CHAQUILVÍN
8314;3;PANGUE
8314;4;ALTO BÍOBÍO
16101;1;PLAZA DE ARMAS
16101;2;MERCADO
16101;3;ESTADIO
16101;4;CHILLÁN
16101;5;CEMENTERIO
16101;6;EL GUAPE
16101;7;LOS GUINDOS
16101;8;CONFLUENCIA
16101;9;SANTA PATRICIA
16101;10;RINCONADA DE CATO
16101;11;LLUANCO
16101;12;BOYÉN
16101;13;ESCUELA DE AGRONOMÍA
16101;14;PUENTE ÑUBLE
16101;15;SAN BERNARDO
16101;16;VICUÑA MACKENNA
16101;17;CARDENAL CARO
16102;1;BULNES
16102;2;EL ROBLE
16102;3;LIBUY
16102;4;SANTA CLARA
16102;5;PUEBLO SECO
16102;6;LOS TILOS
16102;7;BULNES CHICO
16102;8;RINCONADA DE COLTÓN
16202;1;BUCHUPUREO
16202;2;COBQUECURA
16202;3;TAUCÚ
16202;4;COLMUYAO
16202;5;POTREROS DEL REY
16203;1;COELEMU
16203;2;RANGUELMO
16203;3;EL CALABOZO
16203;4;VEGAS DE ITATA
16302;1;COIHUECO
16302;2;RANQUILILAHUE
16302;3;LOS GUINDOS
16302;4;COIHUECO PONIENTE
16302;5;RELBUNCO
16302;6;TIERRA BLANCA
16302;7;SANTA GERTRUDIS
16302;8;MOGOTILLO
16302;9;LAS MINAS DEL PRADO
16302;10;BUSTAMANTE
16302;11;NAHUELTORO
16302;12;CHACAYAL
16103;1;LOMAS BLANCAS
16103;2;RUCAPEQUÉN
16103;3;LLOLLINCO
16103;4;CHILLÁN VIEJO
16103;5;QUILMO
16104;1;EL CARMEN
16104;2;RINCONADA
16104;3;MAIPO
16104;4;TEMUCOTILLO
16104;5;TREGUALEMU
16104;6;PALOS BLANCOS
16104;7;ISLA DE SAN VICENTE
16204;1;SAN JOSÉ
16204;2;NINHUE
16204;3;SAN FRANCISCO
16204;4;LLOHUÉ
16303;1;SAN GREGORIO
16303;2;SAN VICENTE
16303;3;TIUQUILEMU
16303;4;ÑIQUÉN
16303;5;LA FLOR DE ÑIQUÉN
16303;6;BELÉN
16105;1;PEMUCO
16105;2;SAN LUÍS DE PALPAL
16105;3;CARTAGO
16105;4;EL CIPRÉS
16105;5;QUILAMÁN CHICO
16105;6;CULENCO
16105;7;VALLE HERMOSO
16105;8;ESTACIÓN GENERAL CRUZ
16105;9;CHEQUENES
16106;1;PINTO
16106;2;PINCURA
16106;3;TESTAMENTADURÍA
16106;4;TRELLENCAS
16106;5;RECINTO
16106;6;ATACALCO
16205;1;PORTEZUELO
16205;2;LLAHUECUY
16205;3;ORILLA DE ITATA
16107;1;QUILLÓN
16107;2;CERRO NEGRO
16107;3;PASO HONDO
16107;4;QUEIME
16107;5;BULLUQUÍN
16107;6;COYANCO
16201;1;QUIRIHUE
16201;2;SAN JUAN DE DIOS
16201;3;MANQUIMILIÚ
16201;4;CURIMAQUI
16201;5;HUEDQUE
16201;6;CHIRIPA
16206;1;ÑIPAS
16206;2;CAPILLA DE RÁNQUIL
16206;3;SAN IGNACIO DE PALOMARES
16301;1;CEMENTERIO
16301;2;PLAZA DE ARMAS
16301;3;MEDIALUNA
16301;4;SAN CARLOS DE PONIENTE
16301;5;COCHARCAS
16301;6;QUILELTO
16301;7;MONTE BLANCO
16301;8;CACHAPOAL
16301;9;LAS ARBOLEDAS
16301;10;AGUA BUENA
16301;11;BULI
16301;12;MILLAUQUÉN
16301;13;TOQUIGUA
16301;14;COLOMÁVIDA
16304;1;LOS MONOS
16304;2;TRABUNCURA
16304;3;SAN FABIÁN DE ALICO
16304;4;LARA
16304;5;EL ROBLE GUACHO
16108;1;SAN IGNACIO
16108;2;MONTENEGRO
16108;3;SAN MIGUEL
16108;4;VEGAS DE SANTA JUANA
16108;5;QUIRIQUINA
16108;6;PUEBLO SECO
16305;1;QUILLAHUE
16305;2;SAN NICOLÁS
16305;3;MARAVILLA
16305;4;VERQUICÓ
16305;5;MONTE LEÓN
16305;6;DADINCO
16305;7;ESTERO CUCHA
16207;1;QUILPOLEMU
16207;2;TREGUACO
16207;3;DENECÁN
16109;1;YUNGAY
16109;2;EL PEDREGAL
16109;3;CHOLGUÁN GRANDE
16109;4;LAS CRUCES
16109;5;EL AVELLANO
16109;6;COLONIA SANTA LUCÍA
16109;7;ENTRE RÍOS
16109;8;CURAPASO
16109;9;CAMPANARIO
16109;10;PANGAL DEL LAJA
9101;1;CENTRO
9101;2;ESTADIO MUNICIPAL
9101;3;AMANECER
9101;4;SANTA ELENA
9101;5;SANTA ROSA
9101;6;PUEBLO NUEVO
9101;7;ÑIELOL
9101;8;LANÍN
9101;9;AVENIDA ALEMANIA
9101;10;LABRANZA
9101;11;TROMÉN
9101;12;SAN CARLOS
9101;13;DEILLE
9101;14;RALUNCOYÁN
9101;15;BOLLECO
9101;16;CAUPOLICAN
9101;17;UNIVERSIDAD
9101;18;JAVIERA CARRERA
9101;19;ESTERO COIHUECO
9102;1;MUNICIPALIDAD
9102;2;CEMENTERIO
9102;3;CATRIPULLI
9102;4;BUTACO
9102;5;NEHUENTUÉ
9102;6;LONCOLLAMO
9102;7;YUPEHUE
9102;8;TROVOLHUE
9102;9;EL PERAL
9102;10;LAS ARAUCARIAS
9102;11;EL MANZANAR
9102;12;BUTALÓN
9103;1;MUNICIPALIDAD
9103;2;NAHUELCURA
9103;3;VILLA GARCÍA
9103;4;CURACALCO
9103;5;COLICO ORIENTE
9103;6;COLICO PONIENTE
9103;7;RAYÉN LAFQUÉN
9103;8;CARILAFQUÉN
9103;9;LAS HORTENSIAS
9103;10;LOS LAURELES
9103;11;HUICHAHUE
9103;12;CAIVICO
9103;13;LAGO ESPEJO
9104;1;CURARREHUE
9104;2;REIGOLIL
9105;1;FREIRE
9105;2;QUEPE
9105;3;LA SELVA
9105;4;RADAL
9105;5;COIPUÉ
9105;6;SANTA ANA
9105;7;CHUCAUCO
9105;8;HUILÍO
9105;9;CATRIPULLI
9106;1;GALVARINO
9106;2;ÑIELOL
9106;3;HUIMPIL
9106;4;CURACO
9106;5;LLUFQUENTUÉ
9106;6;ÑILPE
9106;7;REPOCURA
9106;8;LOS TEMOS
9106;9;PELLAHUENCO
9107;1;GORBEA PONIENTE
9107;2;GORBEA ORIENTE
9107;3;CUARTA FAJA
9107;4;HUELLANTO
9107;5;QUITRATUÉ
9107;6;CHAINAL
9107;7;LASTARRIA
9107;8;MANTAHUE
9107;9;BOTACURA
9108;1;MUNICIPALIDAD
9108;2;LAS ARAUCARIAS
9108;3;REGIMIENTO
9108;4;CEMENTERIO
9108;5;ESTACIÓN PISCÍCOLA
9108;6;CHEUQUEPÁN
9108;7;DOLLINCO
9108;8;LOS PRADOS
9108;9;BAYONA
9108;10;CHEUQUEL
9108;11;PILLANLELBÚN
9108;12;PUMALAL
9108;13;COLONIA LAUTARO
9108;14;MUCOCHUREO
9109;1;LONCOCHE ORIENTE
9109;2;LONCOCHE PONIENTE
9109;3;LA PAZ
9109;4;NILCAHUÍN
9109;5;PIDENCO
9109;6;AFQUINTUÉ
9109;7;NANCAHUE
9109;8;HUISCAPI
9109;9;CHESQUE
9109;10;HUIÑOCO
9109;11;CHANLELFÚN
9110;1;MELIPEUCO
9110;2;SANTA MARÍA DE LLAIMA
9111;1;PLAZA
9111;2;ESTACIÓN
9111;3;GUALACURA
9111;4;LOS HUERTOS
9111;5;MAÑÍO
9111;6;RANQUILCO
9111;7;CHACAMO
9111;8;CHIVILCOYÁN
9111;9;ESTACIÓN BOROA
9111;10;BOROA
9111;11;ALMAGRO
9112;1;MOLCO
9112;2;ÑIRRIMAPU
9112;3;MAQUEHUE
9112;4;PADRE LAS CASAS
9112;5;AILLACARA
9112;6;COLLAHUE
9112;7;ROBLE GUACHO
9112;8;METRENCO
9112;9;MILLAHUECO
9112;10;TRUFTRUF
9113;1;PERQUENCO
9113;2;QUILLÉN
9113;3;PARLAMENTO
9113;4;REHUECOYÁN
9114;1;PITRUFQUÉN ORIENTE
9114;2;PITRUFQUÉN PONIENTE
9114;3;NUEVA ETRURIA
9114;4;COMUY
9114;5;QUILQUILCO
9114;6;MILLAHUÍN
9114;7;POLUL
9115;1;LA PENÍNSULA
9115;2;CEMENTERIO
9115;3;CABURGUA
9115;4;COILACO
9115;5;PALGUÍN
9115;6;TERMAS DE RÍO BLANCO
9116;1;PUERTO SAAVEDRA
9116;2;OÑOICO
9116;3;PUERTO DOMÍNGUEZ
9116;4;BUDI
9117;1;QUILMER
9117;2;PUCOLÓN
9117;3;HUILÍO
9117;4;BARROS ARANA
9117;5;TEODORO SCHMIDT
9117;6;CHELLE
9117;7;GUALPÍN
9117;8;PORMA
9118;1;TOLTÉN
9118;2;QUEULE
9118;3;VILLA LOS BOLDOS
9118;4;PUMALAL
9118;5;ULTRA BOLDO
9118;6;COLONIA SAN JORGE
9118;7;BOROA
9119;1;VILCÚN
9119;2;SAN PATRICIO
9119;3;CHERQUENCO
9119;4;QUINTRILPE
9119;5;GENERAL LÓPEZ
9119;6;CURACO
9119;7;PRADOS DE MENDOZA
9119;8;METO
9119;9;ALAMBRADO
9119;10;CAJÓN
9119;11;NIÁGARA
9120;1;PLAZA
9120;2;PLAYA PUCARÁ
9120;3;ESTACIÓN
9120;4;LOCOTRARO
9120;5;CONQUIL
9120;6;LICÁN RAY
9120;7;CHESQUE
9120;8;RELÚN
9120;9;VOIPIR
9120;10;PEDREGOSO
9120;11;HUILIPILÚN PONIENTE
9120;12;HUILIPILÚN ORIENTE
9121;1;REPOCURA
9121;2;CHOLCHOL
9121;3;CARIRRIÑE
9121;4;TRANAHUILLÍN
9121;5;RAPAHUE
9201;1;CENTRO
9201;2;HOSPITAL
9201;3;EL CAÑÓN
9201;4;EL ROSARIO
9201;5;AGUA FRÍA
9201;6;CHANLEO
9201;7;LOS ALPES
9201;8;MAITENREHUE
9201;9;SAN RAFAEL
9201;10;ITRAQUE
9201;11;LOLENCO
9201;12;COLONIA MANUEL RODRÍGUEZ
9201;13;HUEQUÉN
9201;14;LEALTAD
9201;15;ESTACIÓN
9201;16;REGIMIENTO
9202;1;CHIGUAIHUE
9202;2;CEMENTERIO
9202;3;MUNICIPALIDAD
9202;4;LOLENCO
9202;5;NIZA
9202;6;ESPERANZA
9202;7;ÑANCO
9202;8;CURACO
9202;9;MALLECO
9202;10;SAN ANDRÉS
9202;11;JAUJA
9202;12;ENTRE RÍOS
9202;13;CANADÁ
9203;1;MUNICIPALIDAD
9203;2;ESTACIÓN
9203;3;RARIRRUCA
9203;4;TOLGUACA
9203;5;PIDENCO
9203;6;MANZANAR
9203;7;MALALCAHUELLO
9203;8;HUEÑIVALES
9203;9;CAPTRÉN
9203;10;SANTA JULIA
9204;1;ERCILLA
9204;2;HUEQUÉN
9204;3;PAILAHUEQUE
9204;4;TEMOCUICUI
9204;5;PIDIMA
9205;1;LONQUIMAY
9205;2;CONTRACO
9205;3;RÁNQUIL
9205;4;RAHUE
9205;5;MITRANQUÉN
9205;6;LIUCURA
9205;7;RÍO PEDREGOSO
9205;8;ICALMA
9206;1;MUNICIPALIDAD
9206;2;ROMULHUECO
9206;3;JUAN TRINTRE
9206;4;PELEHUE
9206;5;SAN LUÍS
9206;6;SANTA ROSA
9206;7;CENTENARIO
9206;8;SAN RAMÓN
9206;9;LA VILLA
9207;1;LUMACO
9207;2;QUETRAHUE
9207;3;REÑICO
9207;4;CHANCO
9207;5;PICHIPELLAHUÉN
9207;6;MADIHUE
9207;7;LA HERRADURA
9207;8;CALCOI
9207;9;RELÚN
9207;10;CAPITÁN PASTENE
9208;1;MUNICIPALIDAD
9208;2;CEMENTERIO
9208;3;IPINCO
9208;4;COYANCAHUÍN
9208;5;PINGUIDAHUE
9208;6;MANZANAL
9209;1;RENAICO
9209;2;ROBLERÍA
9209;3;MININCO
9209;4;COIHUECO
9210;1;MUNICIPALIDAD
9210;2;GUACOLDA
9210;3;CORONEL URRUTIA
9210;4;MALALHUE
9210;5;HOSPITAL
9210;6;LAS OBRAS
9210;7;TRICAUCO
9210;8;LA COLMENA
9210;9;CHUFQUÉN
9210;10;HUIÑILHUE
9210;11;NAHUELVÁN
9210;12;QUILQUÉN
9210;13;QUECHEREGUAS
9210;14;ANIÑIR
9211;1;MUNICIPALIDAD
9211;2;MOLINO
9211;3;RÍO TRAIGUÉN
9211;4;HOSPITAL
9211;5;VICTORIA SUR
9211;6;QUILQUILCO
9211;7;ROSARIO
9211;8;SAN GREGORIO
9211;9;PEHUENCO
9211;10;SANTA TERESA
9211;11;SELVA OSCURA
9211;12;SANTA ANA
9211;13;CULLINCO
9211;14;PÚA
9211;15;QUINO
9211;16;MANZANACO
9211;17;MARÍA ESTER
9211;18;ADENCUL
9211;19;DUMO
10101;1;ESTACIÓN
10101;2;ALGELMÓ
10101;3;MIRASOL
10101;4;CHINCHÍN
10101;5;INTENDENCIA
10101;6;PELLUCO
10101;7;ALERCE
10101;8;CORRENTOSO
10101;9;QUILLAIPE
10101;10;LENCA
10101;11;TENGLO
10101;12;MAILLÉN
10101;13;PANITAO
10101;14;EL GATO
10101;15;TEPUAL
10101;16;LAS QUEMAS
10101;17;LA PALOMA
10101;18;MATADERO
10102;1;CHALLAHUE
10102;2;AGUANTAO
10102;3;GUAYÚN
10102;4;RÍO TAMBOR
10102;5;SAN RAFAEL
10102;6;EL ROSARIO
10102;7;QUETRULAUQUÉN
10102;8;ALFARO
10102;9;CHUCAHUE
10102;10;PULUQUI
10102;11;MACHILDAD
10102;12;LLAICHA
10102;13;CHECHIL
10102;14;CALBUCO
10102;15;CAICAÉN
10102;16;SAN JOSÉ DE QUIGUA
10102;17;QUENU
10102;18;CHIDGUAPI
10102;19;TABÓN
10102;20;QUEULLÍN
10103;1;COCHAMÓ
10103;2;PASO EL LEÓN
10103;3;PUELO
10103;4;SEGUNDO CORRAL
10103;5;YATES
10104;1;FRESIA
10104;2;LA COSTA
10104;3;TEGUALDA
10104;4;CAÑAL
10104;5;PARGA
10104;6;LLICO
10105;1;FRUTILLAR
10105;2;PARAGUAY
10105;3;CASMA
10105;4;LOS BAJOS
10106;1;LOS MUERMOS
10106;2;LOS OSTIONES
10106;3;CARACOL
10106;4;CORDILLERA DEL ZARAO
10106;5;ÑADI
10106;6;RÍO FRÍO
10106;7;CULULIL
10106;8;PALIHUE
10107;1;LLANQUIHUE
10107;2;IANSA
10107;3;LONCOTORO
10107;4;COLEGUAL
10108;1;MAULLÍN
10108;2;QUENUIR
10108;3;LOLCURA
10108;4;MISQUIHUÉ
10108;5;OLMOPULLI
10108;6;CARIQUILDA
10108;7;CARELMAPU
10109;1;PUERTO VARAS
10109;2;NUEVA BRAUNAU
10109;3;PARAGUAY GRANDE
10109;4;SANTA MARÍA
10109;5;LA FÁBRICA
10109;6;LOS RISCOS
10109;7;ENSENADA
10109;8;PEULLA
10109;9;RALÚN
10201;1;CASTRO
10201;2;GAMBOA
10201;3;LLAULLAO
10201;4;PIRUQUINA
10201;5;SAN JOSÉ
10201;6;RILÁN
10201;7;CHELÍN
10201;8;QUEHUI
10201;9;YUTUY
10201;10;SAN PEDRO
10202;1;CUARTELES
10202;2;INTENDENCIA
10202;3;QUEMPILLÉN
10202;4;PUGUEÑÚN
10202;5;CHACAO
10202;6;PUMANZANO
10202;7;DEGAÑ
10202;8;PUNTRA
10202;9;COÍPOMO
10202;10;PILLUCO
10202;11;CALLE
10203;1;CHONCHI
10203;2;TEUPA
10203;3;TERAO
10203;4;NATRI
10203;5;HUILLINCO
10203;6;CUCAO
10203;7;NOTUÉ
10203;8;RAUCO
10203;9;CURACO
10204;1;CURACO DE VÉLEZ
10204;2;SAN JAVIER
10204;3;PALQUI
10205;1;DALCAHUE
10205;2;SAN PEDRO
10205;3;BUTALCURA
10205;4;SAN JUAN
10205;5;QUETALCO
10205;6;TENAÚN
10206;1;PUQUELDÓN
10206;2;ALDACHILDO
10206;3;ICHUAC
10206;4;DETIF
10207;1;QUEILÉN
10207;2;CENTINELA
10207;3;TRANQUI
10207;4;DETICO
10207;5;AGONI
10207;6;PAILDAD
10208;1;QUELLÓN
10208;2;HUILDAD
10208;3;CHADMO
10208;4;CATIAO
10208;5;CHAIGUATA
10208;6;ASASSAO
10208;7;GUAFO
10208;8;COLDITA
10208;9;LAITEC
10208;10;CAILÍN
10209;1;QUEMCHI
10209;2;LLIUCO
10209;3;AUCAR
10209;4;CAUCAHUÉ
10209;5;COLÚ
10209;6;TENAÚN
10209;7;MECHUQUE
10209;8;BUTACHAUQUES
10209;9;TAC
10210;1;ACHAO
10210;2;LLINGUA
10210;3;LINLÍN
10210;4;MEULÍN
10210;5;QUENAC
10210;6;CAGUACHE
10210;7;APIAO
10210;8;CHAULINEC
10210;9;ALAO
10210;10;QUINCHAO
10301;1;AMADOR BARRIENTOS
10301;2;CEMENTERIO MUNICIPAL
10301;3;PLAZA
10301;4;MUNICIPALIDAD
10301;5;RAHUE
10301;6;OVEJERÍA
10301;7;LAS QUEMAS
10301;8;PILAUCO
