COMUNA_15R;NOM_COMUNA_15R
13129;SAN JOAQUÍN
13130;SAN MIGUEL
13131;SAN RAMÓN
13132;VITACURA
13201;PUENTE ALTO
13202;PIRQUE
13203;SAN JOSÉ DE MAIPO
13301;COLINA
13302;LAMPA
13303;TILTIL
13401;SAN BERNARDO
13402;BUIN
13403;CALERA DE TANGO
13404;PAINE
13501;MELIPILLA
13502;ALHUÉ
13503;CURACAVÍ
13504;MARÍA PINTO
13505;SAN PEDRO
13601;TALAGANTE
13602;EL MONTE
13603;ISLA DE MAIPO
13604;PADRE HURTADO
13605;PEÑAFLOR
14101;VALDIVIA
14102;CORRAL
14103;LANCO
14104;LOS LAGOS
14105;MÁFIL
14106;MARIQUINA
14107;PAILLACO
14108;PANGUIPULLI
14201;LA UNIÓN
14202;FUTRONO
14203;LAGO RANCO
14204;RÍO BUENO
15101;ARICA
15102;CAMARONES
15201;PUTRE
15202;GENERAL LAGOS
